#Overview of data in ClinVar by gene, dated September 29, 2015
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number
MIR4754	100616168	11	11	-	-	-
MIR4755	100616434	4	4	-	-	-
MIR4756	100616225	4	4	-	-	-
MIR4757	100616307	12	12	-	-	-
MIR4758	100616340	7	7	-	-	-
MIR4759	100616243	40	40	-	-	-
MIR4760	100616148	41	41	-	-	-
MIR4761	100616414	166	166	-	-	-
MIR4762	100616253	32	32	-	-	-
MIR4763	100616143	34	34	-	-	-
MIR4764	100616295	6	6	-	-	-
MIR4765	100616219	12	12	-	-	-
MIR4766	100616283	9	9	-	-	-
MIR4767	100616467	167	167	-	-	-
MIR4768	100616249	86	86	-	-	-
MIR4769	100616147	78	78	-	-	-
MIR4770	100616373	112	112	-	-	-
MIR4771-1	100616370	17	17	-	-	-
MIR4771-2	100616165	16	16	-	-	-
MIR4772	100616157	8	8	-	-	-
MIR4773-1	100616392	6	6	-	-	-
MIR4773-2	100616418	6	6	-	-	-
MIR4774	100616356	6	6	-	-	-
MIR4775	100616361	14	14	-	-	-
MIR4776-1	100616267	10	10	-	-	-
MIR4776-2	100616472	10	10	-	-	-
MIR4777	100616317	13	13	-	-	-
MIR4778	100616464	8	8	-	-	-
MIR4779	100616159	9	9	-	-	-
MIR4780	100616447	5	5	-	-	-
MIR4781	100616315	6	6	-	-	-
MIR4783	100616187	8	8	-	-	-
MIR4784	100616378	13	13	-	-	-
MIR4785	100616364	5	5	-	-	-
MIR4786	100616417	48	48	-	-	-
MIR4787	100616138	2	2	-	-	-
MIR4788	100616281	11	11	-	-	-
MIR4789	100616395	13	13	-	-	-
MIR4790	100616334	38	38	-	-	-
MIR4791	100616291	12	12	-	-	-
MIR4792	100616448	6	6	-	-	-
MIR4793	100616112	1	1	-	-	-
MIR4794	100616338	10	10	-	-	-
MIR4795	100616161	8	8	-	-	-
MIR4796	100616166	19	19	-	-	-
MIR4797	100616216	51	51	-	-	-
MIR4798	100616471	35	35	-	-	-
MIR4799	100616246	15	15	-	-	-
MIR4800	100616358	69	69	-	-	-
MIR4801	100616435	3	3	-	-	-
MIR4802	100616274	3	3	-	-	-
MIR4803	100616377	2	2	-	-	-
MIR4804	100616152	1	1	-	-	-
MIR483	619552	16	16	-	-	-
MIR484	619553	140	140	-	-	-
MIR485	574436	21	21	-	-	615385
MIR486-1	619554	30	30	-	-	-
MIR486-2	102465696	30	30	-	-	-
MIR487A	619555	21	21	-	-	-
MIR487B	664616	21	21	-	-	615037
MIR488	574441	8	8	-	-	-
MIR489	574442	7	7	-	-	614523
MIR490	574443	16	16	-	-	-
MIR491	574444	40	40	-	-	-
MIR492	574449	3	3	-	-	614384
MIR493	574450	24	24	-	-	-
MIR494	574452	21	21	-	-	616036
MIR495	574453	21	21	-	-	615149
MIR496	574454	21	21	-	-	-
MIR497	574456	12	12	-	-	615672
MIR497HG	100506755	12	12	-	-	-
MIR498	574460	11	11	-	-	-
MIR4999	100847049	3	3	-	-	-
MIR499A	574501	6	6	-	-	613614
MIR499B	100616134	6	6	-	-	-
MIR5000	100846995	5	5	-	-	-
MIR5001	100847037	17	17	-	-	-
MIR5002	100847021	8	8	-	-	-
MIR5003	100847029	6	6	-	-	-
MIR5004	100847012	1	1	-	-	-
MIR5006	100847026	28	28	-	-	-
MIR5007	100846996	33	33	-	-	-
MIR5008	100847072	17	17	-	-	-
MIR5009	100846993	13	13	-	-	-
MIR500A	574502	82	82	-	-	-
MIR500B	100422911	82	82	-	-	-
MIR501	574503	82	82	-	-	-
MIR5010	100847046	4	4	-	-	-
MIR5011	100847002	52	52	-	-	-
MIR502	574504	81	81	-	-	300893
MIR503	574506	89	89	-	-	300865
MIR503HG	84848	89	89	-	-	-
MIR504	574507	88	88	-	-	-
MIR5047	100616408	5	5	-	-	-
MIR505	574508	95	95	-	-	-
MIR506	574511	100	100	-	-	300877
MIR507	574512	99	99	-	-	-
MIR508	574513	100	100	-	-	300874
MIR5087	100847044	122	122	-	-	-
MIR5088	100847074	3	3	-	-	-
MIR5089	100847067	5	5	-	-	-
MIR509-1	574514	100	100	-	-	300875
MIR509-2	100126301	99	99	-	-	-
MIR509-3	100126337	100	100	-	-	300876
MIR5090	100847073	9	9	-	-	-
MIR5091	100847023	20	20	-	-	-
MIR5092	100847039	7	7	-	-	-
MIR5093	100847022	23	23	-	-	-
MIR5094	100847059	13	13	-	-	-
MIR5095	100616458	3	3	-	-	-
MIR5096	100616427	8	8	-	-	-
MIR510	574515	100	100	-	-	300866
MIR5100	100847014	7	7	-	-	-
MIR511	574445	9	9	-	-	-
MIR512-1	574458	11	11	-	-	-
MIR512-2	574459	11	11	-	-	-
MIR513A1	574509	99	99	-	-	-
MIR513A2	574510	99	99	-	-	-
MIR513B	100313822	99	99	-	-	-
MIR513C	100302114	99	99	-	-	-
MIR514A1	574516	99	99	-	-	-
MIR514A2	574517	99	99	-	-	-
MIR514A3	574518	99	99	-	-	-
MIR514B	100422847	99	99	-	-	-
MIR515-1	574462	11	11	-	-	-
MIR515-2	574465	11	11	-	-	-
MIR516A1	574498	12	12	-	-	-
MIR516A2	574499	12	12	-	-	-
MIR516B1	574490	12	12	-	-	-
MIR516B2	574485	12	12	-	-	-
MIR517A	574479	12	12	-	-	-
MIR517B	574483	12	12	-	-	-
MIR517C	574492	12	12	-	-	-
MIR5186	100847036	7	7	-	-	-
MIR5187	100847090	5	5	-	-	-
MIR5188	100847004	12	12	-	-	-
MIR5189	100847057	24	24	-	-	-
MIR518A1	574488	12	12	-	-	-
MIR518A2	574491	12	12	-	-	-
MIR518B	574474	12	12	-	-	-
MIR518C	574477	12	12	-	-	-
MIR518D	574489	12	12	-	-	-
MIR518E	574487	12	12	-	-	-
MIR518F	574472	12	12	-	-	-
MIR5190	100847080	37	37	-	-	-
MIR5191	100847050	3	3	-	-	-
MIR5192	100847087	10	10	-	-	-
MIR5193	100847079	2	2	-	-	-
MIR5194	100847051	28	28	-	-	-
MIR5195	100847062	35	35	-	-	-
MIR5196	100847070	4	4	-	-	-
MIR5197	100846991	6	6	-	-	-
MIR519A1	574496	12	12	-	-	-
MIR519A2	574500	12	12	-	-	-
MIR519B	574469	12	12	-	-	-
MIR519C	574466	11	11	-	-	-
MIR519D	574480	12	12	-	-	614247
MIR519E	574463	11	11	-	-	-
MIR520A	574467	11	11	-	-	-
MIR520B	574473	12	12	-	-	-
MIR520C	574476	12	12	-	-	615908
MIR520D	574482	12	12	-	-	-
MIR520E	574461	11	11	-	-	-
MIR520F	574464	11	11	-	-	-
MIR520G	574484	12	12	-	-	616272
MIR520H	574493	12	12	-	-	614755
MIR521-1	574494	12	12	-	-	-
MIR521-2	574481	12	12	-	-	-
MIR522	574495	12	12	-	-	-
MIR523	574471	12	12	-	-	-
MIR524	574478	12	12	-	-	-
MIR525	574470	12	12	-	-	-
MIR526A1	574475	12	12	-	-	-
MIR526A2	574486	12	12	-	-	-
MIR526B	574468	12	12	-	-	-
MIR527	574497	12	12	-	-	-
MIR532	693124	82	82	-	-	-
MIR539	664612	21	21	-	-	-
MIR541	100126308	21	21	-	-	-
MIR542	664617	89	89	-	-	-
MIR543	100126335	21	21	-	-	-
MIR544A	664613	21	21	-	-	-
MIR544B	100422864	7	7	-	-	-
MIR545	664614	62	62	-	-	-
MIR548A1	693125	5	5	-	-	-
MIR548A2	693126	2	2	-	-	-
MIR548A3	693127	23	23	-	-	-
MIR548AA1	100500863	23	23	-	-	-
MIR548AA2	100500895	4	4	-	-	-
MIR548AB	100616336	6	6	-	-	-
MIR548AC	100616384	4	4	-	-	-
MIR548AD	100616475	6	6	-	-	-
MIR548AE1	100616305	12	12	-	-	-
MIR548AE2	100616339	4	4	-	-	-
MIR548AG1	100616450	4	4	-	-	-
MIR548AG2	100616440	7	7	-	-	-
MIR548AH	100616254	9	9	-	-	-
MIR548AI	100616347	6	6	-	-	-
MIR548AJ1	100616191	3	3	-	-	-
MIR548AJ2	100616252	77	77	-	-	-
MIR548AK	100616488	15	15	-	-	-
MIR548AL	100616215	3	3	-	-	-
MIR548AM	100616428	88	88	-	-	-
MIR548AN	100616144	81	81	-	-	-
MIR548AO	100847068	29	29	-	-	-
MIR548AP	100847084	8	8	-	-	-
MIR548AQ	100847078	20	20	-	-	-
MIR548AR	100847035	63	63	-	-	-
MIR548AS	100847092	35	35	-	-	-
MIR548AT	100847030	4	4	-	-	-
MIR548AU	100847045	17	17	-	-	-
MIR548AV	100847083	64	64	-	-	-
MIR548AW	100846992	20	20	-	-	-
MIR548AX	100847063	94	94	-	-	-
MIR548AY	102465247	4	4	-	-	-
MIR548AZ	102466162	28	28	-	-	-
MIR548B	693128	11	11	-	-	-
MIR548BA	102465854	8	8	-	-	-
MIR548BB	103504735	6	6	-	-	-
MIR548C	693129	4	4	-	-	-
MIR548D1	693130	23	23	-	-	-
MIR548D2	693131	4	4	-	-	-
MIR548E	100313921	9	9	-	-	-
MIR548F1	100302192	11	11	-	-	-
MIR548F2	100313771	9	9	-	-	-
MIR548F3	100302159	17	17	-	-	-
MIR548F4	100313895	34	34	-	-	-
MIR548F5	100302239	87	87	-	-	-
MIR548G	100313938	13	13	-	-	-
MIR548H1	100313830	5	5	-	-	-
MIR548H2	100313773	5	5	-	-	-
MIR548H3	100302287	2	2	-	-	-
MIR548H4	100313884	44	44	-	-	-
MIR548H5	100616455	4	4	-	-	-
MIR548I1	100302204	6	6	-	-	-
MIR548I2	100302277	31	31	-	-	-
MIR548I3	100302186	89	89	-	-	-
MIR548I4	100302191	78	78	-	-	-
MIR548J	100313914	10	10	-	-	-
MIR548K	100313770	1	1	-	-	-
MIR548L	100302275	5	5	-	-	-
MIR548M	100313772	84	84	-	-	-
MIR548N	100302152	6	6	-	-	-
MIR548O	100313829	9	9	-	-	-
MIR548O2	100616190	5	5	-	-	-
MIR548P	100302288	11	11	-	-	-
MIR548Q	100313841	14	14	-	-	-
MIR548S	100422862	17	17	-	-	-
MIR548T	100422849	31	31	-	-	-
MIR548U	100422884	3	3	-	-	-
MIR548V	100422850	43	43	-	-	-
MIR548W	100422923	9	9	-	-	-
MIR548X	100422920	41	41	-	-	-
MIR548X2	100616302	33	33	-	-	-
MIR548Y	100500919	5	5	-	-	-
MIR548Z	100500856	4	4	-	-	-
MIR549A	693132	4	4	-	-	-
MIR550A1	693133	6	6	-	-	-
MIR550A2	693134	7	7	-	-	-
MIR550A3	100616354	9	9	-	-	-
MIR550B1	100500883	6	6	-	-	-
MIR550B2	100500830	7	7	-	-	-
MIR551A	693135	59	59	-	-	615148
MIR551B	693136	15	15	-	-	-
MIR552	693137	2	2	-	-	-
MIR553	693138	5	5	-	-	-
MIR554	693139	2	2	-	-	-
MIR555	693140	4	4	-	-	-
MIR556	693141	6	6	-	-	-
MIR557	693142	9	9	-	-	-
MIR5571	100847006	48	48	-	-	-
MIR5572	100847042	4	4	-	-	-
MIR5579	100847000	5	5	-	-	-
MIR558	693143	10	10	-	-	616473
MIR5580	100847076	5	5	-	-	-
MIR5581	100847010	2	2	-	-	-
MIR5582	100847020	5	5	-	-	-
MIR5583-1	100847025	25	25	-	-	-
MIR5583-2	100846997	25	25	-	-	-
MIR5584	100847089	4	4	-	-	-
MIR5585	100847018	5	5	-	-	-
MIR5586	100847088	5	5	-	-	-
MIR5587	100847028	21	21	-	-	-
MIR5588	100847054	19	19	-	-	-
MIR5589	100847093	2	2	-	-	-
MIR559	693144	8	8	-	-	-
MIR5590	100847069	2	2	-	-	-
MIR5591	100847065	3	3	-	-	-
MIR561	693146	10	10	-	-	-
MIR562	693147	17	17	-	-	-
MIR563	693148	11	11	-	-	-
MIR566	693151	2	2	-	-	-
MIR567	693152	7	7	-	-	-
MIR568	693153	16	16	-	-	-
MIR5680	100847001	23	23	-	-	-
MIR5681A	100847058	16	16	-	-	-
MIR5681B	100847091	16	16	-	-	-
MIR5682	100847043	11	11	-	-	-
MIR5683	100847034	21	21	-	-	-
MIR5684	100847071	9	9	-	-	-
MIR5685	100847075	3	3	-	-	-
MIR5687	100847019	8	8	-	-	-
MIR5688	100847077	8	8	-	-	-
MIR5689	100846998	13	13	-	-	-
MIR569	693154	13	13	-	-	-
MIR5690	100847048	1	1	-	-	-
MIR5691	100847015	4	4	-	-	-
MIR5692A1	100847066	3	3	-	-	-
MIR5692A2	100847038	36	36	-	-	-
MIR5692B	100847013	46	46	-	-	-
MIR5692C1	100847082	6	6	-	-	-
MIR5692C2	100847017	3	3	-	-	-
MIR5693	100847003	30	30	-	-	-
MIR5694	100847064	2	2	-	-	-
MIR5695	100847016	11	11	-	-	-
MIR5696	100847007	11	11	-	-	-
MIR5697	100847055	21	21	-	-	-
MIR5698	100847024	2	2	-	-	-
MIR5699	100847086	27	27	-	-	-
MIR570	693155	31	31	-	-	614538
MIR5700	100847031	3	3	-	-	-
MIR5701-1	100847060	28	28	-	-	-
MIR5701-2	100847005	28	28	-	-	-
MIR5701-3	103504741	33	33	-	-	-
MIR5702	100847053	11	11	-	-	-
MIR5703	100847081	11	11	-	-	-
MIR5704	100847040	7	7	-	-	-
MIR5705	100847027	10	10	-	-	-
MIR5706	100847085	10	10	-	-	-
MIR5707	100847032	54	54	-	-	-
MIR5708	100847056	18	18	-	-	-
MIR571	693156	84	84	-	-	-
MIR572	693157	22	22	-	-	-
MIR573	693158	9	9	-	-	-
MIR5739	102466081	14	14	-	-	-
MIR574	693159	2	2	-	-	615469
MIR575	693160	18	18	-	-	-
MIR576	693161	3	3	-	-	-
MIR577	693162	3	3	-	-	-
MIR578	693163	21	21	-	-	-
MIR5787	102464817	2	2	-	-	-
MIR579	693164	11	11	-	-	-
MIR580	693165	7	7	-	-	-
MIR581	693166	8	8	-	-	-
MIR582	693167	5	5	-	-	-
MIR583	693168	11	11	-	-	-
MIR584	693169	4	4	-	-	-
MIR585	693170	7	7	-	-	-
MIR586	693171	6	6	-	-	-
MIR587	693172	6	6	-	-	-
MIR588	693173	6	6	-	-	-
MIR589	693174	26	26	-	-	-
MIR590	693175	68	68	-	-	615070
MIR591	693176	4	4	-	-	-
MIR592	693177	10	10	-	-	-
MIR593	693178	10	10	-	-	-
MIR595	693180	57	57	-	-	-
MIR596	693181	60	60	-	-	-
MIR597	693182	64	64	-	-	-
MIR598	693183	60	60	-	-	-
MIR599	693184	19	19	-	-	-
MIR600	693185	17	17	-	-	-
MIR600HG	81571	17	17	-	-	-
MIR601	693186	18	18	-	-	-
MIR602	693187	46	46	-	-	-
MIR603	693188	5	5	-	-	-
MIR604	693189	5	5	-	-	-
MIR605	693190	7	7	-	-	-
MIR606	693191	3	3	-	-	-
MIR6068	102464823	10	10	-	-	-
MIR6069	102464824	6	6	-	-	-
MIR607	693192	5	5	-	-	-
MIR6070	102464825	48	48	-	-	-
MIR6071	102466516	4	4	-	-	-
MIR6072	102465944	21	21	-	-	-
MIR6073	102464826	3	3	-	-	-
MIR6074	102464827	5	5	-	-	-
MIR6075	102466103	68	68	-	-	-
MIR6076	102464828	3	3	-	-	-
MIR6077	102466225	101	101	-	-	-
MIR6078	102464829	16	16	-	-	-
MIR6079	102464830	4	4	-	-	-
MIR608	693193	5	5	-	-	-
MIR6080	102464831	5	5	-	-	-
MIR6081	102466518	21	21	-	-	-
MIR6082	102466953	28	28	-	-	-
MIR6083	102464832	8	8	-	-	-
MIR6084	102464833	7	7	-	-	-
MIR6085	102464834	2	2	-	-	-
MIR6086	102466519	94	94	-	-	-
MIR6087	102464835	80	80	-	-	-
MIR6088	102464836	3	3	-	-	-
MIR6089	102464837	112	112	-	-	-
MIR609	693194	6	6	-	-	-
MIR6090	102466104	35	35	-	-	-
MIR610	693195	5	5	-	-	612330
MIR611	693196	1	1	-	-	-
MIR612	693197	1	1	-	-	-
MIR6124	102466906	4	4	-	-	-
MIR6125	102465133	6	6	-	-	-
MIR6126	102465134	10	10	-	-	-
MIR6127	102466615	1	1	-	-	-
MIR6128	102465135	4	4	-	-	-
MIR6129	102465137	8	8	-	-	-
MIR613	693198	15	15	-	-	-
MIR6130	102466967	39	39	-	-	-
MIR6131	102465138	47	47	-	-	-
MIR6132	102466616	10	10	-	-	-
MIR6133	102465139	17	17	-	-	-
MIR6134	102465140	81	81	-	-	-
MIR614	693199	15	15	-	-	-
MIR615	693200	4	4	-	-	-
MIR616	693201	3	3	-	-	614489
MIR6165	102465141	7	7	-	-	-
MIR617	693202	8	8	-	-	-
MIR618	693203	7	7	-	-	-
MIR619	693204	4	4	-	-	-
MIR620	693205	7	7	-	-	-
MIR621	693206	27	27	-	-	-
MIR622	693207	41	41	-	-	-
MIR623	693208	35	35	-	-	-
MIR624	693209	12	12	-	-	-
MIR625	693210	7	7	-	-	-
MIR627	693212	2	2	-	-	-
MIR628	693213	4	4	-	-	-
MIR629	693214	4	4	-	-	-
MIR630	693215	6	6	-	-	-
MIR631	693216	10	10	-	-	-
MIR632	693217	1	1	-	-	-
MIR633	693218	5	5	-	-	-
MIR634	693219	4	4	-	-	-
MIR635	693220	5	5	-	-	-
MIR636	693221	3	3	-	-	-
MIR637	693222	13	13	-	-	-
MIR638	693223	6	6	-	-	-
MIR639	693224	9	9	-	-	-
MIR640	693225	4	4	-	-	-
MIR641	693226	2	2	-	-	-
MIR642A	693227	5	5	-	-	-
MIR642B	100500845	5	5	-	-	-
MIR643	693228	7	7	-	-	-
MIR644A	693229	5	5	-	-	-
MIR645	693230	5	5	-	-	-
MIR646	693231	7	7	-	-	-
MIR646HG	284757	7	7	-	-	-
MIR647	693232	17	17	-	-	-
MIR648	693233	25	25	-	-	616205
MIR649	693234	163	163	-	-	-
MIR6499	102465246	4	4	-	-	-
MIR650	723778	48	48	-	-	615379
MIR6500	102466656	3	3	-	-	-
MIR6501	102465248	34	34	-	-	-
MIR6502	102465249	5	5	-	-	-
MIR6503	102465250	1	1	-	-	-
MIR6504	102465251	21	21	-	-	-
MIR6505	102466657	1	1	-	-	-
MIR6506	102465252	140	140	-	-	-
MIR6507	102465253	4	4	-	-	-
MIR6508	102466972	41	41	-	-	-
MIR6509	102465254	14	14	-	-	-
MIR651	723779	163	163	-	-	-
MIR6510	102466658	4	4	-	-	-
MIR6511A1	102466268	73	73	-	-	-
MIR6511A2	102466812	93	93	-	-	-
MIR6511A3	102465683	92	92	-	-	-
MIR6511A4	102465684	24	24	-	-	-
MIR6511B1	102465429	9	9	-	-	-
MIR6511B2	102465985	87	87	-	-	-
MIR6512	102465255	11	11	-	-	-
MIR6513	102465256	9	9	-	-	-
MIR6514	102465257	4	4	-	-	-
MIR6515	102466659	11	11	-	-	-
MIR6516	102466864	3	3	-	-	-
MIR652	724022	81	81	-	-	-
MIR653	724023	7	7	-	-	-
MIR654	724024	21	21	-	-	-
MIR655	724025	21	21	-	-	-
MIR656	724026	21	21	-	-	616376
MIR657	724027	8	8	-	-	-
MIR658	724028	10	10	-	-	-
MIR659	724029	10	10	-	-	613556
MIR660	724030	81	81	-	-	-
MIR661	724031	29	29	-	-	613716
MIR662	724032	20	20	-	-	-
MIR663A	724033	7	7	-	-	-
MIR663AHG	284801	7	7	-	-	-
MIR663B	100313824	6	6	-	-	-
MIR664A	100302234	9	9	-	-	-
MIR664B	100847052	105	105	-	-	-
MIR665	100126315	24	24	-	-	-
MIR668	768214	21	21	-	-	-
MIR670	100313777	9	9	-	-	-
MIR670HG	100507261	9	9	-	-	-
MIR671	768213	37	37	-	-	615245
MIR6715A	102466189	11	11	-	-	-
MIR6715B	102465427	11	11	-	-	-
MIR6716	102466719	9	9	-	-	-
MIR6717	102465428	16	16	-	-	-
MIR6718	102465430	57	57	-	-	-
MIR6719	102465974	2	2	-	-	-
MIR6720	102466720	33	33	-	-	-
MIR6721	102466190	1	1	-	-	-
MIR6722	102465431	30	30	-	-	-
MIR6723	102465432	4	4	-	-	-
MIR6724-1	102465433	31	31	-	-	-
MIR6724-2	103504727	31	31	-	-	-
MIR6724-3	103504739	31	31	-	-	-
MIR6724-4	103504733	31	31	-	-	-
MIR6726	102465434	77	77	-	-	-
MIR6727	102465435	77	77	-	-	-
MIR6728	102465436	21	21	-	-	-
MIR6729	102466982	25	25	-	-	-
MIR6730	102466722	24	24	-	-	-
MIR6731	102465437	1	1	-	-	-
MIR6732	102465438	2	2	-	-	-
MIR6733	102465439	4	4	-	-	-
MIR6734	102466723	4	4	-	-	-
MIR6735	102465440	4	4	-	-	-
MIR6736	102466191	107	107	-	-	-
MIR6737	102465441	4	4	-	-	-
MIR6738	102465442	3	3	-	-	-
MIR6739	102466724	3	3	-	-	-
MIR6740	102465443	3	3	-	-	-
MIR6741	102466270	16	16	-	-	-
MIR6742	102465444	17	17	-	-	-
MIR6743	102465445	11	11	-	-	-
MIR6744	102466725	12	12	-	-	-
MIR6745	102466726	5	5	-	-	-
MIR6747	102465447	4	4	-	-	-
MIR6748	102465448	4	4	-	-	-
MIR675	100033819	16	16	-	-	615509
MIR6752	102465450	6	6	-	-	-
MIR6753	102465451	3	3	-	-	-
MIR6754	102466728	2	2	-	-	-
MIR6755	102465452	7	7	-	-	-
MIR6756	102465453	11	11	-	-	-
MIR6757	102466193	3	3	-	-	-
MIR6758	102465454	3	3	-	-	-
MIR6759	102466729	3	3	-	-	-
MIR676	100500887	67	67	-	-	-
MIR6760	102465455	2	2	-	-	-
MIR6761	102465456	4	4	-	-	-
MIR6762	102465457	2	2	-	-	-
MIR6763	102465975	15	15	-	-	-
MIR6764	102466730	20	20	-	-	-
MIR6765	102465458	35	35	-	-	-
MIR6766	102466983	12	12	-	-	-
MIR6767	102465459	12	12	-	-	-
MIR6768	102465460	12	12	-	-	-
MIR6769A	102466731	8	8	-	-	-
MIR6769B	102466202	3	3	-	-	-
MIR6770-1	102465461	73	73	-	-	-
MIR6770-2	102465908	93	93	-	-	-
MIR6770-3	102466259	24	24	-	-	-
MIR6771	102465462	11	11	-	-	-
MIR6772	102465463	4	4	-	-	-
MIR6773	102466194	10	10	-	-	-
MIR6774	102466732	21	21	-	-	-
MIR6775	102465464	22	22	-	-	-
MIR6776	102465465	26	26	-	-	-
MIR6777	102465466	65	65	-	-	-
MIR6778	102466733	60	60	-	-	-
MIR6779	102465467	3	3	-	-	-
MIR6780A	102466195	4	4	-	-	-
MIR6780B	102466746	5	5	-	-	-
MIR6781	102465468	4	4	-	-	-
MIR6782	102465469	6	6	-	-	-
MIR6783	102466734	6	6	-	-	-
MIR6784	102465470	7	7	-	-	-
MIR6785	102466911	3	3	-	-	-
MIR6786	102465471	9	9	-	-	-
MIR6787	102465472	12	12	-	-	-
MIR6788	102466735	43	43	-	-	-
MIR6789	102466736	10	10	-	-	-
MIR6790	102465473	6	6	-	-	-
MIR6791	102465474	5	5	-	-	-
MIR6792	102465475	5	5	-	-	-
MIR6793	102466737	6	6	-	-	-
MIR6794	102466196	11	11	-	-	-
MIR6795	102465476	7	7	-	-	-
MIR6796	102465477	2	2	-	-	-
MIR6797	102465478	3	3	-	-	-
MIR6798	102466738	3	3	-	-	-
MIR6799	102465479	2	2	-	-	-
MIR6800	102465480	2	2	-	-	-
MIR6801	102466984	7	7	-	-	-
MIR6802	102465481	12	12	-	-	-
MIR6803	102466739	12	12	-	-	-
MIR6804	102465482	12	12	-	-	-
MIR6805	102465483	12	12	-	-	-
MIR6806	102465484	11	11	-	-	-
MIR6807	102465976	8	8	-	-	-
MIR6808	102466740	78	78	-	-	-
MIR6809	102465485	8	8	-	-	-
MIR6810	102466197	9	9	-	-	-
MIR6811	102465486	38	38	-	-	-
MIR6812	102465487	3	3	-	-	-
MIR6813	102466741	18	18	-	-	-
MIR6814	102465488	46	46	-	-	-
MIR6815	102465489	50	50	-	-	-
MIR6816	102465490	166	166	-	-	-
MIR6817	102466198	20	20	-	-	-
MIR6818	102466742	9	9	-	-	-
MIR6819	102465491	9	9	-	-	-
MIR6820	102465492	10	10	-	-	-
MIR6821	102465493	49	49	-	-	-
MIR6822	102466743	2	2	-	-	-
MIR6823	102465494	1	1	-	-	-
MIR6824	102465495	1	1	-	-	-
MIR6825	102466199	5	5	-	-	-
MIR6826	102465496	4	4	-	-	-
MIR6827	102466744	11	11	-	-	-
MIR6828	102465497	14	14	-	-	-
MIR6829	102465977	27	27	-	-	-
MIR6830	102465498	7	7	-	-	-
MIR6831	102465499	6	6	-	-	-
MIR6832	102466745	1	1	-	-	-
MIR6833	102465500	1	1	-	-	-
MIR6834	102465501	1	1	-	-	-
MIR6835	102465502	1	1	-	-	-
MIR6836	102465503	21	21	-	-	-
MIR6837	102466985	9	9	-	-	-
MIR6838	102465504	9	9	-	-	-
MIR6839	102465505	9	9	-	-	-
MIR6840	102466747	7	7	-	-	-
MIR6841	102465506	46	46	-	-	-
MIR6842	102465507	44	44	-	-	-
MIR6843	102465508	42	42	-	-	-
MIR6844	102466200	25	25	-	-	-
MIR6845	102466748	29	29	-	-	-
MIR6846	102465509	31	31	-	-	-
MIR6847	102465510	31	31	-	-	-
MIR6848	102465511	31	31	-	-	-
MIR6849	102466749	34	34	-	-	-
MIR6850	102465978	29	29	-	-	-
MIR6851	102465512	34	34	-	-	-
MIR6852	102465513	33	33	-	-	-
MIR6853	102466201	33	33	-	-	-
MIR6854	102465514	16	16	-	-	-
MIR6855	102466750	21	21	-	-	-
MIR6856	102465515	21	21	-	-	-
MIR6857	102465516	78	78	-	-	-
MIR6858	102465517	111	111	-	-	-
MIR6859-3	102465910	2	2	-	-	-
MIR6859-4	103504738	3	3	-	-	-
MIR6860	102465518	4	4	-	-	-
MIR6861	102465519	2	2	-	-	-
MIR6862-1	102465520	13	13	-	-	-
MIR6862-2	102465907	38	38	-	-	-
MIR6863	102466752	4	4	-	-	-
MIR6864	102465521	12	12	-	-	-
MIR6865	102465522	12	12	-	-	-
MIR6866	102466986	4	4	-	-	-
MIR6867	102465523	4	4	-	-	-
MIR6868	102466753	3	3	-	-	-
MIR6869	102465524	23	23	-	-	-
MIR6870	102465525	15	15	-	-	-
MIR6871	102466912	3	3	-	-	-
MIR6872	102465526	2	2	-	-	-
MIR6873	102466754	1	1	-	-	-
MIR6874	102466203	27	27	-	-	-
MIR6875	102466755	8	8	-	-	-
MIR6876	102465527	44	44	-	-	-
MIR6877	102465528	21	21	-	-	-
MIR6878	102465529	2	2	-	-	-
MIR6880	102466204	12	12	-	-	-
MIR6881	102465530	10	10	-	-	-
MIR6882	102465531	10	10	-	-	-
MIR6883	102465532	8	8	-	-	-
MIR6884	102466757	5	5	-	-	-
MIR6885	102465533	6	6	-	-	-
MIR6886	102465534	5	5	-	-	-
MIR6887	102466205	4	4	-	-	-
MIR6888	102465535	7	7	-	-	-
MIR6889	102466758	8	8	-	-	-
MIR6890	102465536	2	2	-	-	-
MIR6891	102465537	1	1	-	-	-
MIR6892	102465538	25	25	-	-	-
MIR6893	102466271	34	34	-	-	-
MIR6894	102466759	74	74	-	-	-
MIR6895	102465539	74	74	-	-	-
MIR7-1	407043	14	14	-	-	615239
MIR7-2	407044	10	10	-	-	-
MIR7-3	407045	8	8	-	-	-
MIR7-3HG	284424	8	8	-	-	-
MIR708	100126333	5	5	-	-	-
MIR7106	102466222	2	2	-	-	-
MIR7107	102465665	10	10	-	-	-
MIR7108	102466806	9	9	-	-	-
MIR7109	102465666	7	7	-	-	-
MIR711	100313843	1	1	-	-	-
MIR7110	102465667	9	9	-	-	-
MIR7111	102465668	1	1	-	-	-
MIR7112	102465906	31	31	-	-	-
MIR7113	102465669	3	3	-	-	-
MIR7114	102466223	38	38	-	-	-
MIR7150	102465688	17	17	-	-	-
MIR7151	102466814	9	9	-	-	-
MIR7152	102465689	6	6	-	-	-
MIR7153	102465690	40	40	-	-	-
MIR7154	102465691	7	7	-	-	-
MIR7156	102466995	4	4	-	-	-
