#Overview of data in ClinVar by gene, dated September 29, 2015
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number
ACTR8	93973	3	3	-	-	-
ACTRT1	139741	88	88	-	-	300487
ACTRT2	140625	70	70	-	-	608535
ACTRT3	84517	15	15	-	1	608534
ACVR1	90	16	16	8	10	102576
ACVR1B	91	5	5	2	2	601300
ACVR1C	130399	8	8	-	-	608981
ACVR2A	92	12	12	-	1	102581
ACVR2B	93	7	7	2	2	602730
ACVR2B-AS1	100128640	3	3	-	-	-
ACVRL1	94	35	27	29	16	601284
ACY1	95	10	10	8	7	104620
ACY3	91703	9	9	-	-	614413
ACYP1	97	8	8	-	-	600875
ACYP2	98	5	5	-	-	102595
AD026	57413	4	4	-	-	-
ADA	100	59	50	45	32	608958
ADAD1	132612	6	6	-	-	614130
ADAD2	161931	29	29	-	-	-
ADAL	161823	3	3	-	1	-
ADAM10	102	10	10	7	5	602192
ADAM11	4185	6	6	-	1	155120
ADAM12	8038	29	29	-	1	602714
ADAM15	8751	5	5	-	-	605548
ADAM17	6868	15	15	1	1	603639
ADAM18	8749	31	31	-	-	-
ADAM19	8728	5	5	-	-	603640
ADAM2	2515	32	32	-	1	601533
ADAM20	8748	3	3	-	-	603712
ADAM21	8747	3	3	-	-	603713
ADAM22	53616	5	5	-	-	603709
ADAM23	8745	14	14	-	1	603710
ADAM28	10863	45	45	-	-	606188
ADAM29	11086	35	35	-	-	604778
ADAM30	11085	8	8	-	-	604779
ADAM32	203102	33	33	-	2	-
ADAM33	80332	19	19	-	-	607114
ADAM7	8756	46	46	-	-	607310
ADAM8	101	47	47	-	-	602267
ADAM9	8754	40	40	7	5	602713
ADAMDEC1	27299	45	45	-	-	606393
ADAMTS1	9510	40	40	-	-	605174
ADAMTS10	81794	9	9	7	7	608990
ADAMTS12	81792	10	10	-	-	606184
ADAMTS13	11093	78	78	24	23	604134
ADAMTS14	140766	7	7	-	-	607506
ADAMTS15	170689	38	38	-	-	607509
ADAMTS16	170690	55	55	-	-	607510
ADAMTS17	170691	46	46	3	6	607511
ADAMTS18	170692	24	24	5	5	607512
ADAMTS19	171019	7	7	-	-	607513
ADAMTS19-AS1	103689846	7	7	-	-	-
ADAMTS2	9509	24	24	5	3	604539
ADAMTS20	80070	6	6	-	-	611681
ADAMTS3	9508	11	11	-	1	605011
ADAMTS4	9507	5	5	-	-	603876
ADAMTS5	11096	41	41	-	-	605007
ADAMTS6	11174	6	6	-	1	605008
ADAMTS7	11173	6	6	-	-	605009
ADAMTS8	11095	37	37	-	-	605175
ADAMTS9	56999	4	4	-	-	605421
ADAMTS9-AS1	101929335	4	4	-	-	-
ADAMTS9-AS2	100507098	6	6	-	2	-
ADAMTSL1	92949	47	47	-	8	609198
ADAMTSL2	9719	30	30	7	7	612277
